id,player_id,date,rating,duration,category
365,6,2015-03-01,7,45,Team Training
366,6,2015-03-03,5,45,Lifting
367,6,2015-03-03,5,90,Team Training
368,6,2015-03-04,6,80,Team Training
369,6,2015-03-05,5,80,Team Training
370,6,2015-03-07,3,45,Team Training
371,6,2015-03-08,6,45,Game
372,6,2015-03-09,5,60,Team Training
373,6,2015-03-10,3,60,Team Training
374,6,2015-03-11,6,90,Game
375,6,2015-03-12,1,60,Recovery
376,6,2015-03-13,0,0,Off
377,6,2015-03-14,2,30,Other
378,6,2015-03-14,4,60,Game
379,6,2015-03-15,1,5,Game
380,6,2015-03-16,5,60,Team Training
